PMID;;;Title;Abstract;Authors;Journal;Publication Date;AuthorIdentified
38856861;Echo;Ventricular function;Continuous monitoring of left ventricular function in postoperative intensive care patients using artificial intelligence and transesophageal echocardiography.;BACKGROUND: Continuous monitoring of mitral annular plane systolic excursion (MAPSE) using transesophageal echocardiography (TEE) may improve the evaluation of left ventricular (LV) function in postoperative intensive care patients. We aimed to assess the utility of continuous monitoring of LV function using TEE and artificial intelligence (autoMAPSE) in postoperative intensive care patients. METHODS: In this prospective observational study, we monitored 50 postoperative intensive care patients for 120 min immediately after cardiac surgery. We recorded a set of two-chamber and four-chamber TEE images every five minutes. We defined monitoring feasibility as how often the same wall from the same patient could be reassessed, and categorized monitoring feasibility as excellent if the same LV wall could be reassessed in >/= 90% of the total recordings. To compare autoMAPSE with manual measurements, we rapidly recorded three sets of repeated images to assess precision (least significant change), bias, and limits of agreement (LOA). To assess the ability to identify changes (trending ability), we compared changes in autoMAPSE with the changes in manual measurements in images obtained during the initiation of cardiopulmonary bypass as well as before and after surgery. RESULTS: Monitoring feasibility was excellent in most patients (88%). Compared with manual measurements, autoMAPSE was more precise (least significant change 2.2 vs 3.1 mm, P < 0.001), had low bias (0.4 mm), and acceptable agreement (LOA - 2.7 to 3.5 mm). AutoMAPSE had excellent trending ability, as its measurements changed in the same direction as manual measurements (concordance rate 96%). CONCLUSION: Continuous monitoring of LV function was feasible using autoMAPSE. Compared with manual measurements, autoMAPSE had excellent trending ability, low bias, acceptable agreement, and was more precise.;['Yu J', 'Tasken AA', 'Berg EAR', 'Tannvik TD', 'Slagsvold KH', 'Kirkeby-Garstad I', 'Grenne B', 'Kiss G', 'Aakhus S'];Intensive care medicine experimental;2024 Jun 10;Grenne
38797330;Echo;Other;Beyond Years: Is Artificial Intelligence Ready to Predict Biological Age and Cardiovascular Risk Using Echocardiography?;;['Grenne B', 'Ostvik A'];Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography;2024 Aug;Grenne
38774371;Clinical data;Survival model;Prediction of survival in out-of-hospital cardiac arrest: the updated Swedish cardiac arrest risk score (SCARS) model.;AIMS: Out-of-hospital cardiac arrest (OHCA) is a major health concern worldwide. Although one-third of all patients achieve a return of spontaneous circulation and may undergo a difficult period in the intensive care unit, only 1 in 10 survive. This study aims to improve our previously developed machine learning model for early prognostication of survival in OHCA. METHODS AND RESULTS: We studied all cases registered in the Swedish Cardiopulmonary Resuscitation Registry during 2010 and 2020 (n = 55 615). We compared the predictive performance of extreme gradient boosting (XGB), light gradient boosting machine (LightGBM), logistic regression, CatBoost, random forest, and TabNet. For each framework, we developed models that optimized (i) a weighted F1 score to penalize models that yielded more false negatives and (ii) a precision-recall area under the curve (PR AUC). LightGBM assigned higher importance values to a larger set of variables, while XGB made predictions using fewer predictors. The area under the curve receiver operating characteristic (AUC ROC) scores for LightGBM were 0.958 (optimized for weighted F1) and 0.961 (optimized for a PR AUC), while for XGB, the scores were 0.958 and 0.960, respectively. The calibration plots showed a subtle underestimation of survival for LightGBM, contrasting with a mild overestimation for XGB models. In the crucial range of 0-10% likelihood of survival, the XGB model, optimized with the PR AUC, emerged as a clinically safe model. CONCLUSION: We improved our previous prediction model by creating a parsimonious model with an AUC ROC at 0.96, with excellent calibration and no apparent risk of underestimating survival in the critical probability range (0-10%). The model is available at www.gocares.se.;['Sultanian P', 'Lundgren P', 'Louca A', 'Andersson E', 'Djarv T', 'Hessulf F', 'Henningsson A', 'Martinsson A', 'Nordberg P', 'Piasecki A', 'Gupta V', 'Mandalenakis Z', 'Taha A', 'Redfors B', 'Herlitz J', 'Rawshani A'];European heart journal. Digital health;2024 May;Rawshani
38613555;Echo;Ventricular function;The Road to Robust and Automated Strain Measurements in Echocardiography by Deep Learning.;;['Lovstakken L', 'Grenne B'];JACC. Cardiovascular imaging;2024 Jul;Grenne
38485534;Echo;Ventricular function;Automatic Detection and Tracking of Anatomical Landmarks in Transesophageal Echocardiography for Quantification of Left Ventricular Function.;OBJECTIVE: Evaluation of left ventricular (LV) function in critical care patients is useful for guidance of therapy and early detection of LV dysfunction, but the tools currently available are too time-consuming. To resolve this issue, we previously proposed a method for the continuous and automatic quantification of global LV function in critical care patients based on the detection and tracking of anatomical landmarks on transesophageal heart ultrasound. In the present study, our aim was to improve the performance of mitral annulus detection in transesophageal echocardiography (TEE). METHODS: We investigated several state-of-the-art networks for both the detection and tracking of the mitral annulus in TEE. We integrated the networks into a pipeline for automatic assessment of LV function through estimation of the mitral annular plane systolic excursion (MAPSE), called autoMAPSE. TEE recordings from a total of 245 patients were collected from St. Olav's University Hospital and used to train and test the respective networks. We evaluated the agreement between autoMAPSE estimates and manual references annotated by expert echocardiographers in 30 Echolab patients and 50 critical care patients. Furthermore, we proposed a prototype of autoMAPSE for clinical integration and tested it in critical care patients in the intensive care unit. RESULTS: Compared with manual references, we achieved a mean difference of 0.8 (95% limits of agreement: -2.9 to 4.7) mm in Echolab patients, with a feasibility of 85.7%. In critical care patients, we reached a mean difference of 0.6 (95% limits of agreement: -2.3 to 3.5) mm and a feasibility of 88.1%. The clinical prototype of autoMAPSE achieved real-time performance. CONCLUSION: Automatic quantification of LV function had high feasibility in clinical settings. The agreement with manual references was comparable to inter-observer variability of clinical experts.;['Tasken AA', 'Yu J', 'Berg EAR', 'Grenne B', 'Holte E', 'Dalen H', 'Stolen S', 'Lindseth F', 'Aakhus S', 'Kiss G'];Ultrasound in medicine & biology;2024 Jun;Grenne
38442058;Echo;Valvular function;Cardiac Valve Event Timing in Echocardiography Using Deep Learning and Triplane Recordings.;Cardiac valve event timing plays a crucial role when conducting clinical measurements using echocardiography. However, established automated approaches are limited by the need of external electrocardiogram sensors, and manual measurements often rely on timing from different cardiac cycles. Recent methods have applied deep learning to cardiac timing, but they have mainly been restricted to only detecting two key time points, namely end-diastole (ED) and end-systole (ES). In this work, we propose a deep learning approach that leverages triplane recordings to enhance detection of valve events in echocardiography. Our method demonstrates improved performance detecting six different events, including valve events conventionally associated with ED and ES. Of all events, we achieve an average absolute frame difference (aFD) of maximum 1.4 frames (29 ms) for start of diastasis, down to 0.6 frames (12 ms) for mitral valve opening when performing a ten-fold cross-validation with test splits on triplane data from 240 patients. On an external independent test consisting of apical long-axis data from 180 other patients, the worst performing event detection had an aFD of 1.8 (30 ms). The proposed approach has the potential to significantly impact clinical practice by enabling more accurate, rapid and comprehensive event detection, leading to improved clinical measurements.;['Fermann BS', 'Nyberg J', 'Remme EW', 'Grue JF', 'Grue H', 'Haland R', 'Lovstakken L', 'Dalen H', 'Grenne B', 'Aase SA', 'Snare SR', 'Ostvik A'];IEEE journal of biomedical and health informatics;2024 May;Grenne
38341361;Echo;Valvular function;Mitral Valve Segmentation and Tracking from Transthoracic Echocardiography Using Deep Learning.;OBJECTIVE: Valvular heart diseases (VHDs) pose a significant public health burden, and deciding the best treatment strategy necessitates accurate assessment of heart valve function. Transthoracic echocardiography (TTE) is the key modality to evaluate VHDs, but the lack of standardized quantitative measurements leads to subjective and time-consuming assessments. We aimed to use deep learning to automate the extraction of mitral valve (MV) leaflets and annular hinge points from echocardiograms of the MV, improving standardization and reducing workload in quantitative assessment of MV disease. METHODS: We annotated the MV leaflets and annulus points in 2931 images from 127 patients. We propose an approach for segmenting the annotated features using Attention UNet with deep supervision and weight scheduling of the attention coefficients to enforce saliency surrounding the MV. The derived segmentation masks were used to extract quantitative biomarkers for specific MV leaflet scallops throughout the heart cycle. RESULTS: Evaluation performance was summarized using a Dice score of 0.63 +/- 0.14, annulus error of 3.64 +/- 2.53 and leaflet angle error of 8.7 +/- 8.3 degrees . Leveraging Attention UNet with deep supervision robustness of clinically relevant metrics was improved compared with UNet, reducing standard deviations by 2.7 degrees  (angle error) and 0.73 mm (annulus error). We correctly identified cases of MV prolapse, cases of stenosis and healthy references from a clinical material using the derived biomarkers. CONCLUSION: Robust deep learning segmentation and tracking of MV morphology and motion is possible by leveraging attention gates and deep supervision, and holds promise for enhancing VHD diagnosis and treatment monitoring.;['Wifstad SV', 'Kildahl HA', 'Grenne B', 'Holte E', 'Hauge SW', 'Saebo S', 'Mekonnen D', 'Nega B', 'Haaverstad R', 'Estensen ME', 'Dalen H', 'Lovstakken L'];Ultrasound in medicine & biology;2024 May;Grenne
38309758;Clinical data;Survival model;Early ICD implantation following out-of-hospital cardiac arrest: a retrospective cohort study from the Swedish Registry for Cardiopulmonary Resuscitation.;"BACKGROUND: It is unclear whether an implantable cardioverter-defibrillator (ICD) is generally beneficial in survivors of out-of-hospital cardiac arrest (OHCA). OBJECTIVE: We studied the association between ICD implantation prior to discharge and survival in patients with cardiac aetiology or initial shockable rhythm in OHCA. DESIGN: We conducted a retrospective cohort study in the Swedish Registry for Cardiopulmonary Resuscitation. Treatment associations were estimated using propensity scores. We used gradient boosting, Bayesian additive regression trees, neural networks, extreme gradient boosting and logistic regression to generate multiple propensity scores. We selected the model yielding maximum covariate balance to obtain weights, which were used in a Cox regression to calculate HRs for death or recurrent cardiac arrest. PARTICIPANTS: All cases discharged alive during 2010 to 2020 with a cardiac aetiology or initial shockable rhythm were included. A total of 959 individuals were discharged with an ICD, and 2046 were discharged without one. RESULTS: Among those experiencing events, 25% did so within 90 days in the ICD group, compared with 52% in the other group. All HRs favoured ICD implantation. The overall HR (95% CI) for ICD versus no ICD was 0.38 (0.26 to 0.56). The HR was 0.42 (0.28 to 0.63) in cases with initial shockable rhythm; 0.18 (0.06 to 0.58) in non-shockable rhythm; 0.32 (0.20 to 0.53) in cases with a history of coronary artery disease; 0.36 (0.22 to 0.61) in heart failure and 0.30 (0.13 to 0.69) in those with diabetes. Similar associations were noted in all subgroups. CONCLUSION: Among survivors of OHCA, those discharged with an ICD had approximately 60% lower risk of death or recurrent cardiac arrest. A randomised trial is warranted to study this further.";['Sultanian P', 'Lundgren P', 'Rawshani A', 'Moller S', 'Jafari AH', 'David L', 'Yassinson S', 'Myredal A', 'Rorsman C', 'Taha A', 'Ravn-Fischer A', 'Martinsson A', 'Herlitz J', 'Rawshani A'];BMJ open;2024 Feb 2;Rawshani
38290912;Echo;Ventricular function;Automated Segmentation and Quantification of the Right Ventricle in 2-D Echocardiography.;OBJECTIVE: The right ventricle receives less attention than its left counterpart in echocardiography research, practice and development of automated solutions. In the work described here, we sought to determine that the deep learning methods for automated segmentation of the left ventricle in 2-D echocardiograms are also valid for the right ventricle. Additionally, here we describe and explore a keypoint detection approach to segmentation that guards against erratic behavior often displayed by segmentation models. METHODS: We used a data set of echo images focused on the right ventricle from 250 participants to train and evaluate several deep learning models for segmentation and keypoint detection. We propose a compact architecture (U-Net KP) employing the latter approach. The architecture is designed to balance high speed with accuracy and robustness. RESULTS: All featured models achieved segmentation accuracy close to the inter-observer variability. When computing the metrics of right ventricular systolic function from contour predictions of U-Net KP, we obtained the bias and 95% limits of agreement of 0.8 +/- 10.8% for the right ventricular fractional area change measurements, -0.04 +/- 0.54 cm for the tricuspid annular plane systolic excursion measurements and 0.2 +/- 6.6% for the right ventricular free wall strain measurements. These results were also comparable to the semi-automatically derived inter-observer discrepancies of 0.4 +/- 11.8%, -0.37 +/- 0.58 cm and -1.0 +/- 7.7% for the aforementioned metrics, respectively. CONCLUSION: Given the appropriate data, automated segmentation and quantification of the right ventricle in 2-D echocardiography are feasible with existing methods. However, keypoint detection architectures may offer higher robustness and information density for the same computational cost.;['Chernyshov A', 'Grue JF', 'Nyberg J', 'Grenne B', 'Dalen H', 'Aase SA', 'Ostvik A', 'Lovstakken L'];Ultrasound in medicine & biology;2024 Apr;Grenne
38267466;Clinical data;Survival model;Identifying top ten predictors of type 2 diabetes through machine learning analysis of UK Biobank data.;The study aimed to identify the most predictive factors for the development of type 2 diabetes. Using an XGboost classification model, we projected type 2 diabetes incidence over a 10-year horizon. We deliberately minimized the selection of baseline factors to fully exploit the rich dataset from the UK Biobank. The predictive value of features was assessed using shap values, with model performance evaluated via Receiver Operating Characteristic Area Under the Curve, sensitivity, and specificity. Data from the UK Biobank, encompassing a vast population with comprehensive demographic and health data, was employed. The study enrolled 450,000 participants aged 40-69, excluding those with pre-existing diabetes. Among 448,277 participants, 12,148 developed type 2 diabetes within a decade. HbA1c emerged as the foremost predictor, followed by BMI, waist circumference, blood glucose, family history of diabetes, gamma-glutamyl transferase, waist-hip ratio, HDL cholesterol, age, and urate. Our XGboost model achieved a Receiver Operating Characteristic Area Under the Curve of 0.9 for 10-year type 2 diabetes prediction, with a reduced 10-feature model achieving 0.88. Easily measurable biological factors surpassed traditional risk factors like diet, physical activity, and socioeconomic status in predicting type 2 diabetes. Furthermore, high prediction accuracy could be maintained using just the top 10 biological factors, with additional ones offering marginal improvements. These findings underscore the significance of biological markers in type 2 diabetes prediction.;['Lugner M', 'Rawshani A', 'Helleryd E', 'Eliasson B'];Scientific reports;2024 Jan 24;Rawshani
37883712;Echo;Ventricular function;Automatic measurements of left ventricular volumes and ejection fraction by artificial intelligence: clinical validation in real time and large databases.;AIMS: Echocardiography is a cornerstone in cardiac imaging, and left ventricular (LV) ejection fraction (EF) is a key parameter for patient management. Recent advances in artificial intelligence (AI) have enabled fully automatic measurements of LV volumes and EF both during scanning and in stored recordings. The aim of this study was to evaluate the impact of implementing AI measurements on acquisition and processing time and test-retest reproducibility compared with standard clinical workflow, as well as to study the agreement with reference in large internal and external databases. METHODS AND RESULTS: Fully automatic measurements of LV volumes and EF by a novel AI software were compared with manual measurements in the following clinical scenarios: (i) in real time use during scanning of 50 consecutive patients, (ii) in 40 subjects with repeated echocardiographic examinations and manual measurements by 4 readers, and (iii) in large internal and external research databases of 1881 and 849 subjects, respectively. Real-time AI measurements significantly reduced the total acquisition and processing time by 77% (median 5.3 min, P < 0.001) compared with standard clinical workflow. Test-retest reproducibility of AI measurements was superior in inter-observer scenarios and non-inferior in intra-observer scenarios. AI measurements showed good agreement with reference measurements both in real time and in large research databases. CONCLUSION: The software reduced the time taken to perform and volumetrically analyse routine echocardiograms without a decrease in accuracy compared with experts.;['Olaisen S', 'Smistad E', 'Espeland T', 'Hu J', 'Pasdeloup D', 'Ostvik A', 'Aakhus S', 'Rosner A', 'Malm S', 'Stylidis M', 'Holte E', 'Grenne B', 'Lovstakken L', 'Dalen H'];European heart journal. Cardiovascular Imaging;2024 Feb 22;Grenne
37783546;Echo;Valvular function;Automated estimation of mitral annular plane systolic excursion by artificial intelligence from 3D ultrasound recordings.;Perioperative monitoring of cardiac function is beneficial for early detection of cardiovascular complications. The standard of care for cardiac monitoring performed by trained cardiologists and anesthesiologists involves a manual and qualitative evaluation of ultrasound imaging, which is a time-demanding and resource-intensive process with intraobserver- and interobserver variability. In practice, such measures can only be performed a limited number of times during the intervention. To overcome these difficulties, this study presents a robust method for automatic and quantitative monitoring of cardiac function based on 3D transesophageal echocardiography (TEE) B-mode ultrasound recordings of the left ventricle (LV). Such an assessment obtains consistent measurements and can produce a near real-time evaluation of ultrasound imagery. Hence, the presented method is time-saving and results in increased accessibility. The mitral annular plane systolic excursion (MAPSE), characterizing global LV function, is estimated by landmark detection and cardiac view classification of two-dimensional images extracted along the long-axis of the ultrasound volume. MAPSE estimation directly from 3D TEE recordings is beneficial since it removes the need for manual acquisition of cardiac views, hence decreasing the need for interference by physicians. Two convolutional neural networks (CNNs) were trained and tested on acquired ultrasound data of 107 patients, and MAPSE estimates were compared to clinically obtained references in a blinded study including 31 patients. The proposed method for automatic MAPSE estimation had low bias and low variability in comparison to clinical reference measures. The method accomplished a mean difference for MAPSE estimates of (-0.16+/-1.06) mm. Thus, the results did not show significant systematic errors. The obtained bias and variance of the method were comparable to inter-observer variability of clinically obtained MAPSE measures on 2D TTE echocardiography. The novel pipeline proposed in this study has the potential to enhance cardiac monitoring in perioperative- and intensive care settings.;['Tasken AA', 'Berg EAR', 'Grenne B', 'Holte E', 'Dalen H', 'Stolen S', 'Lindseth F', 'Aakhus S', 'Kiss G'];Artificial intelligence in medicine;2023 Oct;Grenne
37489729;Clinical data;Survival model;Clinical Outcomes and Predictors of Long-Term Survival in Patients With and Without Previously Known Extracardiac Sarcoidosis Using Machine Learning: A Swedish Multicenter Study.;Background Cardiac involvement can be an initial manifestation in sarcoidosis. However, little is known about the association between various clinical phenotypes of cardiac sarcoidosis (CS) and outcomes. We aimed to analyze the relation of different clinical manifestations with outcomes of CS and to investigate the relative importance of clinical features influencing overall survival. Methods and Results A retrospective cohort of 141 patients with CS enrolled at 2 Swedish university hospitals was studied. Presentation, imaging studies, and outcomes of de novo CS and previously known extracardiac sarcoidosis were compared. Survival free of primary composite outcome (ventricular arrhythmias, heart transplantation, or death) was assessed. Machine learning algorithm was used to study the relative importance of clinical features in predicting outcome. Sixty-two patients with de novo CS and 79 with previously known extracardiac sarcoidosis were included. De novo CS showed more advanced New York Heart Association class (P=0.02), higher circulating levels of NT-proBNP (N-terminal pro-B-type natriuretic peptide) (P<0.001), and troponins (P<0.001), as well as a higher prevalence of right ventricular dysfunction (P<0.001). During a median (interquartile range) follow-up of 61 (44-77) months, event-free survival was shorter in patients with de novo CS (P<0.001). The top 5 features predicting worse event-free survival in order of importance were as follows: impaired tricuspid annular plane systolic excursion, de novo CS, reduced right ventricular ejection fraction, absence of beta-blockers, and lower left ventricular ejection fraction. Conclusions Patients with de novo CS displayed more severe disease and worse outcomes compared with patients with previously known extracardiac sarcoidosis. Using machine learning, right ventricular dysfunction and de novo CS stand out as strong overall predictors of impaired survival.;['Bobbio E', 'Eldhagen P', 'Polte CL', 'Hjalmarsson C', 'Karason K', 'Rawshani A', 'Darlington P', 'Kullberg S', 'Sorensson P', 'Bergh N', 'Bollano E'];Journal of the American Heart Association;2023 Aug;Rawshani
36933849;Echo;Ventricular function;Deep Learning for Improved Precision and Reproducibility of Left Ventricular Strain in Echocardiography: A Test-Retest Study.;"AIMS: Assessment of left ventricular (LV) function by echocardiography is hampered by modest test-retest reproducibility. A novel artificial intelligence (AI) method based on deep learning provides fully automated measurements of LV global longitudinal strain (GLS) and may improve the clinical utility of echocardiography by reducing user-related variability. The aim of this study was to assess within-patient test-retest reproducibility of LV GLS measured by the novel AI method in repeated echocardiograms recorded by different echocardiographers and to compare the results to manual measurements. METHODS: Two test-retest data sets (n = 40 and n = 32) were obtained at separate centers. Repeated recordings were acquired in immediate succession by 2 different echocardiographers at each center. For each data set, 4 readers measured GLS in both recordings using a semiautomatic method to construct test-retest interreader and intrareader scenarios. Agreement, mean absolute difference, and minimal detectable change (MDC) were compared to analyses by AI. In a subset of 10 patients, beat-to-beat variability in 3 cardiac cycles was assessed by 2 readers and AI. RESULTS: Test-retest variability was lower with AI compared with interreader scenarios (data set I: MDC = 3.7 vs 5.5, mean absolute difference = 1.4 vs 2.1, respectively; data set II: MDC = 3.9 vs 5.2, mean absolute difference = 1.6 vs 1.9, respectively; all P < .05). There was bias in GLS measurements in 13 of 24 test-retest interreader scenarios (largest bias, 3.2 strain units). In contrast, there was no bias in measurements by AI. Beat-to-beat MDCs were 1,5, 2.1, and 2.3 for AI and the 2 readers, respectively. Processing time for analyses of GLS by the AI method was 7.9 +/- 2.8 seconds. CONCLUSION: A fast AI method for automated measurements of LV GLS reduced test-retest variability and removed bias between readers in both test-retest data sets. By improving the precision and reproducibility, AI may increase the clinical utility of echocardiography.";['Salte IM', 'Ostvik A', 'Olaisen SH', 'Karlsen S', 'Dahlslett T', 'Smistad E', 'Eriksen-Volnes TK', 'Brunvand H', 'Haugaa KH', 'Edvardsen T', 'Dalen H', 'Lovstakken L', 'Grenne B'];Journal of the American Society of Echocardiography : official publication of the American Society of Echocardiography;2023 Jul;Grenne
36773348;Clinical data;Survival model;Predicting survival and neurological outcome in out-of-hospital cardiac arrest using machine learning: the SCARS model.;"BACKGROUND: A prediction model that estimates survival and neurological outcome in out-of-hospital cardiac arrest patients has the potential to improve clinical management in emergency rooms. METHODS: We used the Swedish Registry for Cardiopulmonary Resuscitation to study all out-of-hospital cardiac arrest (OHCA) cases in Sweden from 2010 to 2020. We had 393 candidate predictors describing the circumstances at cardiac arrest, critical time intervals, patient demographics, initial presentation, spatiotemporal data, socioeconomic status, medications, and comorbidities before arrest. To develop, evaluate and test an array of prediction models, we created stratified (on the outcome measure) random samples of our study population. We created a training set (60% of data), evaluation set (20% of data), and test set (20% of data). We assessed the 30-day survival and cerebral performance category (CPC) score at discharge using several machine learning frameworks with hyperparameter tuning. Parsimonious models with the top 1 to 20 strongest predictors were tested. We calibrated the decision threshold to assess the cut-off yielding 95% sensitivity for survival. The final model was deployed as a web application. FINDINGS: We included 55,615 cases of OHCA. Initial presentation, prehospital interventions, and critical time intervals variables were the most important. At a sensitivity of 95%, specificity was 89%, positive predictive value 52%, and negative predictive value 99% in test data to predict 30-day survival. The area under the receiver characteristic curve was 0.97 in test data using all 393 predictors or only the ten most important predictors. The final model showed excellent calibration. The web application allowed for near-instantaneous survival calculations. INTERPRETATION: Thirty-day survival and neurological outcome in OHCA can rapidly and reliably be estimated during ongoing cardiopulmonary resuscitation in the emergency room using a machine learning model incorporating widely available variables. FUNDING: Swedish Research Council (2019-02019); Swedish state under the agreement between the Swedish government, and the county councils (ALFGBG-971482); The Wallenberg Centre for Molecular and Translational Medicine.";['Hessulf F', 'Bhatt DL', 'Engdahl J', 'Lundgren P', 'Omerovic E', 'Rawshani A', 'Helleryd E', 'Dworeck C', 'Friberg H', 'Redfors B', 'Nielsen N', 'Myredal A', 'Frigyesi A', 'Herlitz J', 'Rawshani A'];EBioMedicine;2023 Mar;Rawshani
36581182;Clinical data;Survival model;Predicting recurrent cardiac arrest in individuals surviving Out-of-Hospital cardiac arrest.;BACKGROUND: Despite improvements in short-term survival for Out-of-Hospital Cardiac Arrest (OHCA) in the past two decades, long-term survival is still not well studied. Furthermore, the contribution of different variables on long-term survival have not been fully investigated. AIM: Examine the 1-year prognosis of patients discharged from hospital after an OHCA. Furthermore, identify factors predicting re-arrest and/or death during 1-year follow-up. METHODS: All patients 18 years or older surviving an OHCA and discharged from the hospital were identified from the Swedish Register for Cardiopulmonary Resuscitation (SRCR). Data on diagnoses, medications and socioeconomic factors was gathered from other Swedish registers. A machine learning model was constructed with 886 variables and evaluated for its predictive capabilities. Variable importance was gathered from the model and new models with the most important variables were created. RESULTS: Out of the 5098 patients included, 902 ( approximately 18%) suffered a recurrent cardiac arrest or death within a year. For the outcome death or re-arrest within 1 year from discharge the model achieved an ROC (receiver operating characteristics) AUC (area under the curve) of 0.73. A model with the 15 most important variables achieved an AUC of 0.69. CONCLUSIONS: Survivors of an OHCA have a high risk of suffering a re-arrest or death within 1 year from hospital discharge. A machine learning model with 15 different variables, among which age, socioeconomic factors and neurofunctional status at hospital discharge, achieved almost the same predictive capabilities with reasonable precision as the full model with 886 variables.;['Hellsen G', 'Rawshani A', 'Skoglund K', 'Bergh N', 'Ramunddal T', 'Myredal A', 'Helleryd E', 'Taha A', 'Mahmoud A', 'Hjartstam N', 'Backelin C', 'Dahlberg P', 'Hessulf F', 'Herlitz J', 'Engdahl J', 'Rawshani A'];Resuscitation;2023 Mar;Rawshani
36315529;Echo;Valves;Quantifying Valve Regurgitation Using 3-D Doppler Ultrasound Images and Deep Learning.;Accurate quantification of cardiac valve regurgitation jets is fundamental for guiding treatment. Cardiac ultrasound is the preferred diagnostic tool, but current methods for measuring the regurgitant volume (RVol) are limited by low accuracy and high interobserver variability. Following recent research, quantitative estimators of orifice size and RVol based on high frame rate 3-D ultrasound have been proposed, but measurement accuracy is limited by the wide point spread function (PSF) relative to the orifice size. The aim of this article was to investigate the use of deep learning to estimate both the orifice size and the RVol. A simulation model was developed to simulate the power-Doppler images of blood flow through orifices with different geometries. A convolutional neural network (CNN) was trained on 30 000 image pairs. The network was used to reconstruct orifices from power-Doppler data, which facilitated estimators for regurgitant orifice areas and flow volumes. We demonstrate that the network improves orifice shape reconstruction, as well as the accuracy of orifice area and flow volume estimation, compared with a previous approach based on thresholding of the power-Doppler signal (THD), and compared with spatially invariant deconvolution (DC). Our approach reduces the area estimation error on simulations: (THD: 13.2 +/- 9.9 mm2, DC: 12.8 +/- 15.8 mm2, and ours: 3.5 +/- 3.2 mm2). In a phantom experiment, our approach reduces both area estimation error (THD: 10.4 +/- 8.4 mm2, DC: 10.98 +/- 8.17, and ours: 9.9 +/- 6.0 mm2) and flow rate estimation error (THD: 20.3 +/- 9.9 ml/s, DC: 18.14 +/- 13.01 ml/s, and ours: 7.1 +/- 10.6 ml/s). We also demonstrate in vivo feasibility for six patients with aortic insufficiency, compared with standard echocardiography and magnetic resonance references.;['Wifstad SV', 'Lovstakken L', 'Avdal J', 'Berg EAR', 'Torp H', 'Grenne B', 'Fiorentini S'];IEEE transactions on ultrasonics, ferroelectrics, and frequency control;2022 Dec;Grenne
36280443;Echo;Other;Real-Time Echocardiography Guidance for Optimized Apical Standard Views.;Measurements of cardiac function such as left ventricular ejection fraction and myocardial strain are typically based on 2-D ultrasound imaging. The reliability of these measurements depends on the correct pose of the transducer such that the 2-D imaging plane properly aligns with the heart for standard measurement views and is thus dependent on the operator's skills. We propose a deep learning tool that suggests transducer movements to help users navigate toward the required standard views while scanning. The tool can simplify echocardiography for less experienced users and improve image standardization for more experienced users. Training data were generated by slicing 3-D ultrasound volumes, which permits simulation of the movements of a 2-D transducer. Neural networks were further trained to calculate the transducer position in a regression fashion. The method was validated and tested on 2-D images from several data sets representative of a prospective clinical setting. The method proposed the adequate transducer movement 75% of the time when averaging over all degrees of freedom and 95% of the time when considering transducer rotation solely. Real-time application examples illustrate the direct relation between the transducer movements, the ultrasound image and the provided feedback.;['Pasdeloup D', 'Olaisen SH', 'Ostvik A', 'Sabo S', 'Pettersen HN', 'Holte E', 'Grenne B', 'Stolen SB', 'Smistad E', 'Aase SA', 'Dalen H', 'Lovstakken L'];Ultrasound in medicine & biology;2023 Jan;Grenne
36054515;Clinical data;Survival model;Optimizing an existing prediction model for quality of life one-year post-intensive care unit: An exploratory analysis.;BACKGROUND: This study aimed to improve the PREPARE model, an existing linear regression prediction model for long-term quality of life (QoL) of intensive care unit (ICU) survivors by incorporating additional ICU data from patients' electronic health record (EHR) and bedside monitors. METHODS: The 1308 adult ICU patients, aged >/=16, admitted between July 2016 and January 2019 were included. Several regression-based machine learning models were fitted on a combination of patient-reported data and expert-selected EHR variables and bedside monitor data to predict change in QoL 1 year after ICU admission. Predictive performance was compared to a five-feature linear regression prediction model using only 24-hour data (R(2)  = 0.54, mean square error (MSE) = 0.031, mean absolute error (MAE) = 0.128). RESULTS: The 67.9% of the included ICU survivors was male and the median age was 65.0 [IQR: 57.0-71.0]. Median length of stay (LOS) was 1 day [IQR 1.0-2.0]. The incorporation of the additional data pertaining to the entire ICU stay did not improve the predictive performance of the original linear regression model. The best performing machine learning model used seven features (R(2)  = 0.52, MSE = 0.032, MAE = 0.125). Pre-ICU QoL, the presence of a cerebro vascular accident (CVA) upon admission and the highest temperature measured during the ICU stay were the most important contributors to predictive performance. Pre-ICU QoL's contribution to predictive performance far exceeded that of the other predictors. CONCLUSION: Pre-ICU QoL was by far the most important predictor for change in QoL 1 year after ICU admission. The incorporation of the numerous additional features pertaining to the entire ICU stay did not improve predictive performance although the patients' LOS was relatively short.;['de Jonge M', 'Wubben N', 'van Kaam CR', 'Frenzel T', 'Hoedemaekers CWE', 'Ambrogioni L', 'van der Hoeven JG', 'van den Boogaard M', 'Zegers M'];Acta anaesthesiologica Scandinavica;2022 Nov;Boogaard
